"","workerId","chain","generation","nouns","strings","prepM","prepR","swap"
"1","ZeroA","A",0,7,"sisu;vinvi;konkan;tulsul;sisu konkan rae;sisu moy vinvi;sisu tulsul moy;rae tulsul vinvi;konkan moy tulsul;tulsul konkan moy;konkan sisu rae;rae konkan vinvi;tulsul sisu moy;konkan rae vinvi;vinvi moy sisu;tulsul vinvi rae;tulsul konkan tulsul rae rae;tulsul rae sisu konkan moy;konkan sisu moy sisu rae;rae konkan tulsul sisu moy;konkan konkan rae vinvi rae;tulsul moy tulsul rae vinvi;moy konkan rae vinvi konkan;tulsul moy vinvi sisu rae;sisu vinvi moy vinvi rae;moy moy sisu tulsul tulsul;rae vinvi sisu moy vinvi;moy konkan sisu vinvi moy;moy konkan tulsul moy tulsul rae konkan;konkan vinvi moy konkan vinvi moy rae;vinvi tulsul moy moy rae tulsul tulsul;tulsul vinvi sisu vinvi rae moy rae;moy rae vinvi moy sisu sisu konkan;moy konkan moy sisu vinvi moy konkan;rae sisu moy tulsul sisu sisu rae;vinvi rae tulsul rae rae konkan konkan;tulsul rae moy konkan sisu konkan moy;tulsul moy rae vinvi moy vinvi sisu;vinvi moy rae vinvi sisu sisu rae;moy rae sisu konkan tulsul rae tulsul","left","atop","false"
"7","ZeroB","B",0,3,"vusu;tinkin;solson;kolkil;vusu solson rae;vusu moy tinkin;moy kolkil vusu;kolkil rae tinkin;kolkil moy solson;kolkil solson moy;rae solson vusu;rae tinkin solson;kolkil moy vusu;tinkin solson rae;tinkin moy vusu;tinkin rae kolkil;kolkil rae kolkil solson rae;rae vusu kolkil solson moy;rae moy vusu vusu solson;kolkil solson moy vusu rae;rae solson tinkin rae solson;tinkin kolkil rae kolkil moy;solson solson rae moy tinkin;moy kolkil tinkin vusu rae;tinkin moy tinkin vusu rae;kolkil moy moy kolkil vusu;vusu moy rae tinkin tinkin;vusu solson moy tinkin moy;moy kolkil kolkil solson rae solson moy;solson solson tinkin moy rae moy tinkin;moy moy kolkil kolkil rae tinkin kolkil;vusu kolkil moy tinkin rae rae tinkin;vusu moy tinkin rae solson moy vusu;moy solson solson moy moy vusu tinkin;moy vusu vusu kolkil rae rae vusu;rae rae kolkil tinkin solson rae solson;solson moy rae kolkil moy solson vusu;tinkin moy tinkin rae vusu moy kolkil;rae vusu tinkin vusu moy rae tinkin;kolkil solson moy vusu rae rae kolkil","left","atop","false"
"13","ZeroC","C",0,1,"kuka;tultol;vinkin;solsil;kuka vinkin rae;kuka moy tultol;moy kuka solsil;solsil tultol rae;vinkin moy solsil;vinkin solsil moy;vinkin kuka rae;tultol vinkin rae;kuka moy solsil;vinkin rae tultol;moy kuka tultol;rae solsil tultol;rae rae vinkin solsil solsil;moy solsil kuka rae vinkin;vinkin rae moy kuka kuka;kuka rae solsil moy vinkin;rae vinkin rae vinkin tultol;solsil tultol solsil moy rae;vinkin rae tultol moy vinkin;moy tultol kuka rae solsil;rae kuka tultol tultol moy;solsil solsil moy moy kuka;tultol kuka rae tultol moy;tultol vinkin kuka moy moy;vinkin solsil rae vinkin moy solsil moy;rae moy vinkin tultol moy vinkin tultol;solsil moy moy solsil solsil rae tultol;tultol moy kuka solsil rae tultol rae;kuka moy rae kuka moy vinkin tultol;moy vinkin vinkin moy moy tultol kuka;solsil rae rae kuka kuka moy kuka;rae tultol vinkin rae solsil vinkin rae;moy rae kuka moy vinkin solsil vinkin;moy solsil tultol moy rae kuka tultol;moy rae rae kuka tultol tultol kuka;rae rae kuka vinkin solsil moy solsil","left","atop","false"
"19","ZeroD","D",0,8,"titil;vuntun;silvil;kaku;titil silvil rae;moy vuntun titil;moy kaku titil;rae kaku vuntun;moy silvil kaku;silvil kaku moy;titil rae silvil;rae silvil vuntun;kaku titil moy;vuntun rae silvil;titil moy vuntun;vuntun kaku rae;rae kaku silvil kaku rae;moy titil silvil rae kaku;titil moy titil rae silvil;titil kaku moy silvil rae;silvil vuntun rae silvil rae;kaku vuntun kaku rae moy;rae silvil silvil moy vuntun;titil kaku rae moy vuntun;vuntun vuntun titil rae moy;kaku kaku moy moy titil;titil vuntun rae vuntun moy;moy silvil moy vuntun titil;kaku rae moy silvil moy kaku silvil;vuntun rae moy moy vuntun silvil silvil;moy moy rae vuntun kaku kaku kaku;vuntun rae rae kaku vuntun moy titil;moy titil titil silvil moy vuntun rae;moy silvil vuntun silvil titil moy moy;kaku titil titil rae moy rae titil;silvil rae rae kaku silvil vuntun rae;moy rae moy kaku silvil silvil titil;vuntun vuntun titil moy rae moy kaku;moy vuntun titil rae rae vuntun titil;titil rae kaku rae moy kaku silvil","right","atop","false"
"25","ZeroE","E",0,6,"soko;vilval;tulkul;kinsin;tulkul rae soko;vilval moy soko;moy soko kinsin;rae kinsin vilval;kinsin moy tulkul;moy kinsin tulkul;soko tulkul rae;tulkul rae vilval;moy kinsin soko;vilval rae tulkul;soko moy vilval;rae vilval kinsin;rae tulkul kinsin rae kinsin;soko tulkul moy rae kinsin;soko soko rae tulkul moy;moy kinsin soko tulkul rae;vilval tulkul rae tulkul rae;kinsin vilval rae moy kinsin;tulkul tulkul rae moy vilval;vilval kinsin soko rae moy;vilval moy vilval rae soko;kinsin kinsin soko moy moy;moy vilval rae soko vilval;tulkul moy soko vilval moy;moy moy kinsin tulkul rae kinsin tulkul;rae moy moy tulkul tulkul vilval vilval;moy kinsin vilval rae moy kinsin kinsin;soko kinsin vilval rae vilval rae moy;vilval rae soko moy soko moy tulkul;moy tulkul soko vilval moy moy tulkul;soko soko soko rae rae kinsin moy;rae kinsin tulkul rae vilval tulkul rae;moy moy tulkul tulkul kinsin soko rae;moy moy kinsin soko vilval rae vilval;vilval moy rae vilval soko soko rae;soko tulkul rae rae kinsin moy kinsin","right","atop","false"
"31","ZeroF","F",0,9,"valtal;kolkul;siso;tontin;siso rae valtal;kolkul valtal moy;tontin valtal moy;rae tontin kolkul;tontin moy siso;tontin siso moy;valtal rae siso;siso kolkul rae;valtal tontin moy;rae siso kolkul;moy valtal kolkul;tontin kolkul rae;tontin rae tontin siso rae;tontin rae moy valtal siso;rae valtal siso moy valtal;rae valtal siso tontin moy;siso rae kolkul rae siso;moy tontin kolkul rae tontin;siso rae kolkul siso moy;tontin moy valtal kolkul rae;valtal kolkul rae kolkul moy;moy tontin valtal moy tontin;kolkul valtal moy kolkul rae;siso moy kolkul moy valtal;siso moy siso tontin rae tontin moy;moy kolkul rae siso moy siso kolkul;tontin rae moy tontin moy tontin kolkul;tontin kolkul rae valtal moy rae kolkul;valtal siso rae moy kolkul valtal moy;moy siso valtal moy moy kolkul siso;rae moy tontin rae valtal valtal valtal;rae siso siso rae kolkul rae tontin;siso moy siso tontin rae moy valtal;tontin kolkul moy kolkul moy valtal rae;moy rae valtal kolkul rae kolkul valtal;siso tontin valtal rae moy rae tontin","right","atop","false"
"37","ZeroG","G",0,9,"valtal;kolkul;siso;tontin;rae valtal siso;moy kolkul valtal;valtal moy tontin;rae kolkul tontin;moy tontin siso;siso moy tontin;siso valtal rae;rae siso kolkul;moy valtal tontin;kolkul siso rae;kolkul valtal moy;tontin rae kolkul;rae siso tontin tontin rae;siso moy tontin rae valtal;rae valtal moy valtal siso;valtal rae tontin moy siso;siso siso kolkul rae rae;kolkul rae tontin moy tontin;rae kolkul siso siso moy;kolkul tontin valtal moy rae;kolkul moy kolkul rae valtal;tontin valtal moy moy tontin;rae kolkul valtal moy kolkul;moy kolkul valtal moy siso;tontin moy siso tontin rae siso moy;siso siso moy kolkul rae kolkul moy;moy moy tontin kolkul rae tontin tontin;rae tontin kolkul rae moy kolkul valtal;valtal moy rae siso moy kolkul valtal;moy kolkul moy siso valtal siso moy;rae valtal valtal moy valtal rae tontin;rae siso rae siso kolkul tontin rae;rae moy tontin moy siso siso valtal;rae kolkul tontin moy kolkul moy valtal;valtal kolkul rae moy valtal rae kolkul;tontin valtal siso rae moy tontin rae","left","under","false"
"43","ZeroH","H",0,2,"sulsal;tinkin;kakan;volsol;kakan rae sulsal;sulsal tinkin moy;sulsal volsol moy;tinkin volsol rae;volsol moy kakan;volsol kakan moy;sulsal rae kakan;rae tinkin kakan;sulsal moy volsol;tinkin kakan rae;moy sulsal tinkin;volsol tinkin rae;volsol volsol rae rae kakan;rae sulsal kakan moy volsol;sulsal kakan moy rae sulsal;rae sulsal moy volsol kakan;kakan kakan tinkin rae rae;volsol tinkin moy rae volsol;moy kakan rae kakan tinkin;tinkin volsol moy rae sulsal;moy tinkin sulsal tinkin rae;sulsal volsol volsol moy moy;tinkin rae sulsal tinkin moy;kakan moy sulsal moy tinkin;kakan moy volsol volsol moy kakan rae;rae moy kakan tinkin kakan tinkin moy;volsol volsol moy tinkin volsol rae moy;rae volsol sulsal tinkin tinkin rae moy;sulsal sulsal kakan rae moy moy tinkin;moy tinkin moy moy kakan kakan sulsal;sulsal rae sulsal rae moy volsol sulsal;kakan volsol tinkin kakan rae rae rae;volsol kakan rae kakan moy moy sulsal;sulsal volsol tinkin tinkin moy moy rae;tinkin rae tinkin sulsal moy rae sulsal;rae volsol sulsal volsol rae moy kakan","right","atop","false"
"49","ZeroI","I",0,6,"soko;vilval;tulkul;kinsin;rae tulkul soko;soko vilval moy;soko kinsin moy;kinsin rae vilval;moy kinsin tulkul;moy tulkul kinsin;rae soko tulkul;rae tulkul vilval;kinsin soko moy;tulkul vilval rae;moy soko vilval;rae vilval kinsin;kinsin rae kinsin tulkul rae;soko tulkul kinsin rae moy;soko rae soko tulkul moy;rae kinsin soko tulkul moy;rae vilval tulkul rae tulkul;kinsin moy rae kinsin vilval;tulkul vilval tulkul moy rae;kinsin moy vilval rae soko;vilval rae soko vilval moy;soko moy kinsin kinsin moy;moy rae vilval vilval soko;tulkul moy soko moy vilval;rae kinsin moy tulkul kinsin moy tulkul;tulkul vilval tulkul moy moy rae vilval;vilval kinsin kinsin rae moy kinsin moy;moy rae soko vilval vilval kinsin rae;moy rae tulkul soko moy vilval soko;tulkul moy tulkul soko vilval moy moy;kinsin rae soko rae moy soko soko;tulkul vilval rae rae kinsin rae tulkul;rae kinsin tulkul moy moy tulkul soko;kinsin vilval moy soko moy vilval rae;rae soko rae soko vilval vilval moy;kinsin kinsin soko rae moy tulkul rae","right","atop","false"
"55","ZeroJ","J",0,5,"toltul;vivin;sasan;koto;rae sasan toltul;moy vivin toltul;toltul moy koto;rae vivin koto;koto moy sasan;koto sasan moy;rae toltul sasan;sasan vivin rae;moy koto toltul;vivin sasan rae;vivin toltul moy;vivin koto rae;koto sasan rae rae koto;toltul moy rae sasan koto;rae toltul sasan toltul moy;sasan rae moy koto toltul;rae rae sasan sasan vivin;koto koto rae vivin moy;rae moy sasan sasan vivin;moy toltul koto vivin rae;moy vivin rae vivin toltul;moy koto koto toltul moy;vivin rae toltul vivin moy;moy moy toltul sasan vivin;rae sasan moy koto koto sasan moy;rae sasan vivin moy sasan vivin moy;moy moy koto vivin koto rae koto;vivin rae toltul moy vivin rae koto;sasan toltul rae moy moy toltul vivin;moy toltul moy vivin sasan sasan moy;toltul rae toltul toltul rae koto moy;sasan vivin rae rae koto sasan rae;toltul rae sasan moy koto moy sasan;vivin vivin toltul moy rae moy koto;toltul toltul rae vivin moy vivin rae;koto sasan moy koto rae toltul rae","right","under","false"
"61","ZeroK","K",0,4,"tuntul;vinkin;sosi;kanka;tuntul sosi rae;moy tuntul vinkin;tuntul moy kanka;kanka vinkin rae;moy sosi kanka;moy kanka sosi;rae tuntul sosi;rae vinkin sosi;moy kanka tuntul;sosi rae vinkin;moy vinkin tuntul;rae kanka vinkin;rae sosi rae kanka kanka;sosi rae moy tuntul kanka;tuntul rae tuntul moy sosi;tuntul sosi moy kanka rae;rae rae vinkin sosi sosi;rae moy vinkin kanka kanka;rae moy sosi sosi vinkin;vinkin moy rae tuntul kanka;rae moy tuntul vinkin vinkin;kanka moy kanka tuntul moy;vinkin rae tuntul vinkin moy;sosi moy tuntul vinkin moy;moy kanka sosi rae sosi moy kanka;moy rae sosi vinkin sosi moy vinkin;vinkin moy moy kanka rae kanka kanka;moy vinkin rae tuntul kanka vinkin rae;moy tuntul vinkin tuntul rae moy sosi;moy vinkin tuntul sosi moy moy sosi;tuntul tuntul rae kanka rae tuntul moy;rae sosi rae vinkin kanka rae sosi;moy sosi tuntul rae sosi kanka moy;kanka moy vinkin rae tuntul moy vinkin;tuntul vinkin moy tuntul vinkin rae rae;rae kanka rae kanka moy tuntul sosi","right","under","false"
"67","ZeroL","L",0,0,"kilkul;vanva;tovo;sunsin;kilkul tovo rae;kilkul vanva moy;sunsin kilkul moy;vanva sunsin rae;moy tovo sunsin;moy sunsin tovo;tovo kilkul rae;tovo vanva rae;kilkul moy sunsin;tovo rae vanva;vanva moy kilkul;sunsin rae vanva;sunsin tovo rae rae sunsin;rae kilkul sunsin moy tovo;kilkul moy kilkul rae tovo;sunsin tovo rae kilkul moy;tovo rae rae tovo vanva;vanva moy rae sunsin sunsin;tovo tovo vanva rae moy;rae vanva moy sunsin kilkul;vanva moy kilkul rae vanva;moy kilkul sunsin sunsin moy;moy rae vanva vanva kilkul;vanva moy kilkul moy tovo;rae moy sunsin tovo sunsin moy tovo;moy rae vanva vanva moy tovo tovo;moy sunsin vanva sunsin moy rae sunsin;vanva rae kilkul sunsin vanva rae moy;kilkul moy moy rae vanva kilkul tovo;vanva moy tovo kilkul moy tovo moy;rae sunsin kilkul rae kilkul moy kilkul;rae tovo tovo vanva rae rae sunsin;tovo kilkul sunsin tovo moy rae moy;moy vanva kilkul moy sunsin rae vanva;rae moy kilkul kilkul rae vanva vanva;tovo sunsin kilkul rae sunsin moy rae","right","under","false"
"2","A40","A",1,7,"sisu;vinvi;konkan;tulsul;sisu konkan rae;vinvi sisu moy;sisu tulsul moy;tulsul vinvi rae;konkan tulsul moy;tulsul konkan moy;konkan sisu moy;konkan vinvi rae;tulsul sisu moy;vinvi konkan rae;sisu vinvi moy;vinvi tulsul rae;vinvi tulsul tulsul konkan vinvi;konkan moy tulsul sisu rae;sisu rae konkan sisu moy;tulsul konkan moy sisu rae;konkan rae konkan vinvi rae;vinvi moy tulsul tulsul rae;vinvi konkan rae moy konkan;sisu tulsul moy vinvi rae;vinvi vinvi moy rae sisu;tulsul tulsul sisu moy moy;vinvi vinvi rae sisu moy;vinvi konkan moy sisu moy;tulsul konkan moy konkan tulsul rae rae;konkan konkan moy vinvi vinvi rae vinvi;tulsul rae tulsul vinvi moy tulsul moy;vinvi vinvi moy tulsul rae sisu rae;sisu vinvi moy sisu moy konkan rae;konkan sisu moy vinvi konkan moy moy;sisu moy sisu sisu rae tulsul rae;tulsul konkan rae vinvi konkan rae konkan;konkan konkan tulsul moy sisu rae konkan;vinvi vinvi rae tulsul moy sisu moy;sisu sisu vinvi rae vinvi moy rae;konkan sisu rae tulsul tulsul rae moy","left","atop","false"
"8","A51","B",1,3,"vusu;tinkin;solson;kolkil;vusu rae solson;tinkin moy vusu;vusu moy kolkil;kolkil rae tinkin;solson moy kolkil;kolkil moy solson;kolkil solson rae;solson rae tinkin;kolkil moy vusu;tinkin rae solson;vusu moy tinkin;tinkin rae kolkil;rae kolkil kolkil rae solson;solson moy kolkil rae vusu;rae vusu solson moy vusu;kolkil moy solson rae vusu;tinkin rae solson rae solson;tinkin moy rae kolkil kolkil;tinkin rae solson moy solson;vusu moy rae kolkil solson;rae vusu tinkin moy tinkin;kolkil moy kolkil moy vusu;tinkin rae tinkin moy vusu;tinkin moy solson vusu moy;kolkil moy solson moy rae solson kolkil;rae tinkin solson moy solson moy tinkin;rae kolkil moy tinkin rae kolkil moy;vusu rae kolkil rae rae moy tinkin;vusu moy tinkin moy vusu rae solson;solson moy vusu moy tinkin moy solson;vusu moy rae kolkil rae vusu rae;solson rae tinkin rae solson rae kolkil;solson moy rae vusu moy solson kolkil;rae tinkin tinkin moy kolkil moy vusu;rae tinkin vusu rae vusu moy tinkin;moy kolkil kolkil rae vusu rae solson","left","atop","false"
"14","A11","C",1,1,"kuka;tultol;vinkin;solsil;kuka rae vinkin;tultol moy kuka;kuka moy solsil;solsil rae tultol;vinkin moy solsil;solsil moy vinkin;vinkin rae kuka;tultol rae vinkin;solsil moy kuka;vinkin rae tultol;kuka moy tultol;solsil rae tultol;vinkin rae solsil solsil rae;vinkin moy kuka rae solsil;vinkin moy kuka rae kuka;kuka rae solsil moy vinkin;vinkin rae vinkin rae tultol;vinkin moy solsil rae solsil;vinkin rae tultol moy vinkin;vinkin rae kuka moy solsil;tultol moy tultol rae kuka;solsil moy solsil moy kuka;tultol rae tultol moy kuka;tultol moy tultol moy kuka;solsil moy vinkin moy vinkin rae solsil;vinkin moy vinkin moy tultol rae tultol;solsil moy solsil rae solsil moy tultol;tultol moy tultol rae solsil rae kuka;vinkin rae kuka moy vinkin moy kuka;vinkin moy kuka moy tultol moy vinkin;kuka moy kuka rae kuka rae solsil;solsil rae vinkin rae tultol rae vinkin;vinkin moy vinkin moy solsil rae kuka;vinkin rae tultol moy solsil moy kuka;kuka rae kuka rae tultol moy tultol;vinkin rae kuka rae solsil moy solsil","left","atop","false"
"20","A5","D",1,8,"titil;vuntun;silvil;kaku;rae titil silvil;moy vuntun titil;moy kaku titil;rae kaku vuntun;moy silvil kaku;silvil kaku moy;titil rae silvil;rae silvil vuntun;moy kaku titil;rae silvil vuntun;moy kaku vuntun;rae vuntun kaku;rae kaku silvil kaku rae;moy titil silvil rae kaku;titil moy titil rae silvil;titil kaku moy silvil rae;silvil vuntun rae silvil rae;kaku vuntun kaku rae moy;rae silvil silvil moy vuntun;titil kaku rae moy vuntun;titil moy vuntun rae vuntun;kaku moy kaku moy titil;rae vuntun titil moy vuntun;vuntun moy silvil moy titil;kaku moy silvil moy silvil rae kaku;moy vuntun vuntun rae vuntun vuntun silvil;kaku moy silvil rae kaku moy kaku;vuntun moy vuntun kaku rae titil titil;titil moy vuntun moy titil rae silvil;silvil moy titil moy vuntun moy silvil;titil moy kaku rae titil rae titil;silvil rae vuntun rae silvil rae kaku;silvil moy titil rae silvil moy kaku;silvil rae silvil moy kaku moy titil;vuntun rae titil rae titil moy vuntun;kaku rae kaku rae titil rae silvil","right","atop","false"
"26","A45","E",1,6,"soko;vilval;tulkul;kinsin;tulkul rae soko;soko moy vilval;kinsin moy soko;kinsin rae vilval;kinsin moy tulkul;tulkul moy kinsin;tulkul rae soko;tulkul rae vilval;soko moy kinsin;vilval rae tulkul;vilval moy soko;vilval rae kinsin;kinsin kinsin rae tulkul rae;kinsin rae soko moy tulkul;soko rae soko moy tulkul;tulkul moy kinsin rae soko;vilval rae tulkul rae tulkul;kinsin rae kinsin moy vilval;vilval rae tulkul moy tulkul;soko moy kinsin rae vilval;soko rae vilval moy vilval;soko moy kinsin moy kinsin;soko moy vilval rae vilval;soko moy tulkul moy vilval;tulkul rae kinsin moy tulkul moy kinsin;vilval rae vilval moy tulkul moy tulkul;kinsin moy vilval moy kinsin rae kinsin;soko rae kinsin rae vilval moy vilval;soko moy vilval moy soko rae tulkul;tulkul moy vilval moy soko moy tulkul;kinsin rae soko rae soko moy soko;tulkul rae vilval rae tulkul rae kinsin;soko rae kinsin moy tulkul moy tulkul;soko moy kinsin moy vilval rae vilval;vilval moy vilval rae soko rae soko;kinsin moy kinsin rae soko rae tulkul","right","atop","false"
